,n_train,step,train_acc,train_acc,train_cost,train_cost,test_acc,test_acc,test_cost,test_cost
,,,mean,std,mean,std,mean,std,mean,std
0,80,1,0.514375,0.024760364655932236,0.6956834422630715,0.003062711421551121,0.4425,0.09904145862372883,0.7065591860349285,0.02256113342220694
1,80,2,0.521875,0.018080139583764906,0.6932440014640566,0.001481238675495585,0.4125,0.07232055833505947,0.7132924077626001,0.02280160298412886
2,80,3,0.5225,0.017490598978639353,0.692177709287143,0.001945524076796248,0.4125,0.07232055833505947,0.7148207676199878,0.026508113933585327
3,80,4,0.521875,0.018080139583764906,0.6916705896201132,0.0017108632927442147,0.4125,0.07232055833505947,0.7123642038788528,0.02820033523023497
4,80,5,0.529375,0.04200465982921921,0.6911592558287453,0.0014297002481677085,0.4225,0.089552983434977,0.7081833268470856,0.026008216066042956
5,80,6,0.5375,0.035587179832364535,0.6904701267061254,0.0015612120721541826,0.42750000000000005,0.09662052740380521,0.7042681518870201,0.021354271657323485
6,80,7,0.55,0.03368780819603187,0.6898495502343951,0.0017818041598659932,0.44000000000000006,0.11309055523875784,0.7022567973499896,0.017076749092438573
7,80,8,0.566875,0.03565067172911111,0.68931670240515,0.0017957241437951172,0.4375,0.1356029420578213,0.7026714310764837,0.016204518655214876
8,80,9,0.560625,0.03174606274800073,0.6888090650079002,0.00166869759984585,0.4375,0.12447257148718177,0.704919385732625,0.016981958758301687
9,80,10,0.553125,0.02776635364495746,0.6882053399758933,0.0017445867900869,0.4225,0.10696162617352176,0.7076785203898575,0.01786255673736275
10,80,11,0.5425,0.020032867729650808,0.6875417025658707,0.00192621910417364,0.4025,0.0769056154270319,0.7098535723295083,0.01941188959420009
11,80,12,0.553125,0.040122140822873915,0.6869189531406871,0.0021374658613079398,0.40750000000000003,0.08626001086067757,0.7106987614272223,0.021584187861212363
12,80,13,0.563125,0.041452850514644625,0.6863473511895484,0.0023174198033657305,0.4125,0.07926471306225807,0.7100237268138181,0.023326951086082567
13,80,14,0.568125,0.04451400577937596,0.6857443496360971,0.002463619867968408,0.4125,0.09301244964774169,0.7083428288825904,0.023715816755017865
14,80,15,0.5818749999999999,0.04204379765259831,0.6850698413805467,0.0026359316460839426,0.4425,0.11153828703043728,0.7064979332150657,0.022639662230256923
15,80,16,0.5862499999999999,0.03971526950152734,0.6843719908887783,0.0028684670952935057,0.4425,0.12594380534692118,0.7052281221266826,0.020708051601126248
16,80,17,0.5856250000000001,0.03375487294256076,0.6837041051199332,0.0031380726302914965,0.43,0.1043778560907689,0.7049332536633485,0.01889969828080032
17,80,18,0.57875,0.03828133391505302,0.6830526600274551,0.00339812143547185,0.43499999999999994,0.08900029568253663,0.7056210928435661,0.017931985771422795
18,80,19,0.57125,0.030645468455256255,0.6823702426246343,0.0036432836021398126,0.425,0.08660254037844387,0.7070154476643992,0.017727265020423936
19,80,20,0.57625,0.030859401024306152,0.6816374120386327,0.00390519526259734,0.43,0.09651833749958715,0.708713065390128,0.01788932326974389
20,80,21,0.5743750000000001,0.03857558370128361,0.6808791826545695,0.004191377145810161,0.43,0.09787209698591859,0.7103054459818787,0.018406539279302022
21,80,22,0.5775,0.03618301433429488,0.6801275185818417,0.004483872897978933,0.4225,0.10447235846964749,0.7114893445138863,0.01947475736044287
22,80,23,0.58375,0.04057562789344568,0.6793846264898596,0.004764402187690742,0.43,0.10310954828418376,0.7121589720945258,0.020992423635780556
23,80,24,0.5862499999999999,0.04153707918677505,0.6786336587998816,0.005027830112199342,0.4425,0.1003611898148514,0.7124105488288665,0.02252798843277654
24,80,25,0.585,0.041278897374094826,0.6778704500527583,0.005279402765565145,0.4375,0.08866702941490234,0.7124513813067825,0.02367485529548223
25,80,26,0.59125,0.03763134891354057,0.6771083057453308,0.005521791506975856,0.4375,0.09013878188659974,0.7124848787763121,0.024287594870614486
26,80,27,0.593125,0.032816024246828265,0.6763533326135936,0.005751607046666535,0.43499999999999994,0.09046662658857016,0.7126384705327358,0.02444962719683494
27,80,28,0.599375,0.030206253709420747,0.6755923471380694,0.005965921440371071,0.43500000000000005,0.09190956653718173,0.7129516714881726,0.024335778504949425
28,80,29,0.5962500000000001,0.033712210812919655,0.6748165108828943,0.006166834918123434,0.425,0.09104654680003262,0.7133922166386772,0.024122709958912778
29,80,30,0.5962500000000001,0.03652234355770956,0.6740377844535336,0.00636003239506395,0.4175,0.08925864251240827,0.7138658840131648,0.023985554100924168
30,80,31,0.59375,0.031544663407202245,0.6732636937236084,0.006552179336671356,0.42000000000000004,0.09787209698591859,0.7142513138016973,0.024111776943871902
31,80,32,0.5974999999999999,0.03157072261313936,0.6724741191307523,0.00675172463467422,0.43,0.09651833749958716,0.7144722055403457,0.02464699403851377
32,80,33,0.605,0.03658983177706181,0.6716478473531753,0.0069667553326609715,0.43500000000000005,0.09610849132757812,0.7145377332978641,0.025601637949851704
33,80,34,0.6131249999999999,0.03476306077917824,0.6707898187142969,0.0072028197949136055,0.4325,0.09357659401457409,0.7145124205631397,0.026824452223999044
34,80,35,0.61625,0.033467383965193415,0.6699059539830172,0.00746718750538167,0.44000000000000006,0.09947229183096798,0.7144597937623447,0.028078919401408796
35,80,36,0.62,0.03304701594936973,0.668980463386864,0.007770865002832931,0.4525,0.09797287487119237,0.7144117829087555,0.02915501138435059
36,80,37,0.620625,0.0356506717291111,0.6679968695348286,0.008124164354608731,0.45,0.10259783520851541,0.7143528679538546,0.02994395035868683
