,train_acc,train_cost,test_acc,test_cost,step,n_train
0,0.47865,1.8283615089703011,0.5755,1.7135542853477848,1,60000
1,0.5960166666666666,1.6919564262825268,0.5986999999999999,1.6746148593756882,2,60000
2,0.6087,1.6635879615515294,0.6072000000000001,1.660579485363104,3,60000
3,0.6142000000000001,1.6518558494035855,0.6117,1.649256820006832,4,60000
4,0.6171666666666666,1.6441863427714454,0.6108999999999999,1.6472234857215953,5,60000
5,0.6194333333333334,1.636378900859563,0.6119999999999999,1.6407700987269653,6,60000
6,0.6212833333333332,1.6336470476069525,0.6144000000000001,1.6308418133787441,7,60000
7,0.6236333333333332,1.6285016631198614,0.6193,1.6312813547827294,8,60000
8,0.6235666666666666,1.6247334569535157,0.6184,1.6275079363166984,9,60000
9,0.62535,1.6202871072205585,0.6176999999999999,1.623213533865186,10,60000
10,0.6257499999999999,1.6194056119054017,0.6196,1.6219225201093692,11,60000
11,0.6263833333333333,1.617631472485345,0.6176,1.6219867616321113,12,60000
12,0.62675,1.6162195493445641,0.6186999999999999,1.620450049212512,13,60000
13,0.6276666666666666,1.614107060118518,0.6183,1.6207347768999667,14,60000
14,0.62815,1.6136611806475618,0.6199,1.616358229025666,15,60000
15,0.6281333333333332,1.612462224557033,0.6226999999999999,1.6155964304105397,16,60000
16,0.6286833333333334,1.611622975145505,0.623,1.6131710523079044,17,60000
17,0.6289499999999999,1.609499123340854,0.6226,1.6123910207362442,18,60000
18,0.6302166666666669,1.6084987509766908,0.6224999999999999,1.6123995932127528,19,60000
19,0.6302000000000001,1.6083860857938013,0.6239,1.6132143969104291,20,60000
20,0.6297499999999998,1.6066780231968154,0.6228,1.6107681448187754,21,60000
21,0.6307833333333335,1.6054474327755726,0.624,1.6082933537082877,22,60000
22,0.6312,1.6047916009095902,0.6213,1.6095764391293728,23,60000
23,0.6309666666666668,1.6037650569104642,0.6246,1.6061091537449876,24,60000
24,0.6315333333333333,1.602054791551475,0.622,1.6080175727016488,25,60000
