,n_train,step,train_acc,train_acc,train_cost,train_cost,test_acc,test_acc,test_cost,test_cost
,,,mean,std,mean,std,mean,std,mean,std
0,1200,1,0.2350833333333333,0.06341920540368734,2.0810515628550155,0.008499839189616597,0.22400000000000003,0.06660172275312562,2.05760501662503,0.011361055611845701
1,1200,2,0.31895833333333334,0.08659446849357186,2.0570063719485603,0.008012807070116399,0.31100000000000005,0.09694816846346842,2.0439182005161753,0.012680398251041836
2,1200,3,0.36033333333333334,0.09782069765079825,2.0435362312213896,0.008449037840294611,0.34950000000000003,0.11199036612701627,2.0374128856806415,0.012249478441456862
3,1200,4,0.3924583333333333,0.11023283273272398,2.03555605475404,0.008580182394463842,0.37,0.12401188398061314,2.0330310568370016,0.011920027730734058
4,1200,5,0.4337916666666667,0.09826323512480642,2.029544618146807,0.008772165738136502,0.41600000000000004,0.10049351903690633,2.027362807287028,0.01063023543152311
5,1200,6,0.46341666666666664,0.08082989683416789,2.024024093984637,0.00811815664480617,0.4455,0.07943716484048721,2.0227062111294702,0.010042234435944163
6,1200,7,0.4686666666666667,0.08196615333415165,2.020323387706103,0.007272541820729998,0.45899999999999996,0.08717194140559824,2.0188306972233514,0.010143622922927626
7,1200,8,0.4900833333333333,0.08569329403911868,2.016845014367258,0.006963835863379183,0.4795,0.09665320535431379,2.015351670470945,0.010253401222039002
8,1200,9,0.5014583333333333,0.08152013124526736,2.0132551733461694,0.00681427848810755,0.489,0.09048989475422975,2.0129713561530096,0.010562362918259344
9,1200,10,0.5112083333333334,0.08772859654666079,2.0106582388218386,0.006614976828301715,0.5029999999999999,0.09884064793499954,2.0108975925905623,0.011112826969801197
10,1200,11,0.518,0.09360916321918754,2.008460636681728,0.006746595270085268,0.5170000000000001,0.0959769709220312,2.0083331757298897,0.011085668180932803
11,1200,12,0.5285416666666667,0.10274801509159752,2.005846200827578,0.006944602716278961,0.5235000000000002,0.1042403598975893,2.0055844025292577,0.010163860177683006
12,1200,13,0.5462083333333333,0.10086630423689243,2.0030023771754535,0.0070277011856471755,0.5370000000000001,0.10110442751510881,2.0031055690324573,0.009242399135024582
13,1200,14,0.5625416666666666,0.09038274486966767,2.0004601506143125,0.007280137292468972,0.5475000000000001,0.08914063400929427,2.0010933841387692,0.008824262144960498
14,1200,15,0.5663750000000001,0.08664105348576277,1.998472768015541,0.007419887629737347,0.554,0.0961030149042381,1.9994611739682928,0.008994403825502751
15,1200,16,0.5656666666666667,0.09320973959600763,1.9967628345099488,0.007628255584113392,0.5494999999999999,0.10215957589657673,1.9982398720614711,0.009256506406441203
16,1200,17,0.5634166666666667,0.10163319121013349,1.9951372972509493,0.007783960195232316,0.5495000000000001,0.11278647735293539,1.997397687901628,0.009178194551633937
17,1200,18,0.5684166666666667,0.10236812226538274,1.9936956231602103,0.007594775629277393,0.5485,0.11027596961117238,1.9965308446241994,0.00921990850872866
18,1200,19,0.5757916666666667,0.0959590993981808,1.9924721046863785,0.007428716863180919,0.552,0.09902684378224767,1.9952432112094303,0.00965429194385761
19,1200,20,0.5885,0.09179002863451534,1.9912680020026243,0.007601438619209156,0.567,0.09793123258587873,1.993756104431652,0.01018232543940984
20,1200,21,0.6003333333333333,0.0937231053040618,1.9900843366506684,0.00788487163296823,0.584,0.10070279356392724,1.9922454699753351,0.010649618450994089
21,1200,22,0.6079166666666667,0.09474592833295009,1.9888154084086782,0.008182141870260961,0.5870000000000001,0.11154890360167977,1.9906329348897434,0.011143093516095114
22,1200,23,0.6148333333333333,0.0969387429413077,1.9873632161689838,0.00852568468976461,0.5945,0.12360697476488257,1.9888986456704916,0.011631538276393924
23,1200,24,0.6211666666666666,0.10262932221240563,1.9858328414473985,0.008843435165523526,0.6079999999999999,0.1297609137484863,1.9872806283454232,0.012113961708053062
24,1200,25,0.6287916666666666,0.11029680684142765,1.9844858328986787,0.009180934207103362,0.624,0.13144540591759798,1.9860041933169175,0.012588071719572855
25,1200,26,0.6355000000000001,0.11296521743827695,1.9833992385113448,0.009446162644224218,0.6329999999999999,0.13719367792707468,1.9851041422917581,0.012846070445870566
26,1200,27,0.6387916666666666,0.11022719592832898,1.9824831655103619,0.009565227811808259,0.635,0.13628530445549258,1.9843199308576551,0.012849212314586727
27,1200,28,0.639625,0.10641914640806993,1.9815282457615844,0.009659123342421614,0.6295,0.1188752109965475,1.9834955767238405,0.012755141382735414
28,1200,29,0.6430416666666667,0.1056922581633703,1.9805146160538922,0.009803922683572462,0.63,0.11498283624775892,1.9826393080173985,0.01262710913663146
29,1200,30,0.6454583333333334,0.1013492582564017,1.9795220753128064,0.009948487630399475,0.6345,0.10733494060036654,1.9816813365003199,0.012483365142194842
30,1200,31,0.6493333333333333,0.09604366696931287,1.9785036690445092,0.009988819993563687,0.6415,0.0942155982169005,1.98065408518629,0.01239506384759418
31,1200,32,0.653875,0.09184403693154523,1.9775263777592234,0.009930652961949941,0.6479999999999999,0.09389804100865554,1.9795436924135914,0.012474676082656375
32,1200,33,0.6598333333333334,0.08448831193603748,1.9765812064883221,0.00987936092987167,0.6495,0.09069758889617159,1.978424514744022,0.012760906742654772
33,1200,34,0.6690833333333334,0.08169615471921816,1.9756302040142586,0.009946999903016188,0.6655,0.09190813491284594,1.9775000874822908,0.013085838104674587
34,1200,35,0.6796249999999999,0.08158359317558028,1.9747424332441486,0.010065152324206501,0.6705,0.09383496150156402,1.9767592498178903,0.013180411507066362
35,1200,36,0.6873750000000001,0.08031338245015456,1.9739093276424922,0.01003459731946344,0.6799999999999999,0.098461854756577,1.9760606158502454,0.013123400488194291
