Alpha,Cost,Accuracy
0.0,1.586521901670396,79.575
0.1,1.5861264633388055,79.675
0.2,1.5857478501507225,79.75
0.3,1.585386062617733,79.65
0.4,1.585041101189152,79.7625
0.5,1.5847129662523944,79.7875
0.6,1.5844016581326925,80.0
0.7,1.5841071770921709,79.975
0.8,1.5838295233282702,79.9
0.9,1.5835686969715295,79.8125
1.0,1.5833246980827211,79.9125
