,train_acc,train_cost,test_acc,test_cost,step,n_train
0,0.4100618556701031,2.028747136964405,0.4289757785467128,2.0104714521400537,1,10000
1,0.4606185567010309,2.0036427849720395,0.441681660899654,1.9971955474538192,2,10000
2,0.4627938144329897,1.99633103868155,0.44403460207612455,1.9923067622902024,3,10000
3,0.46643298969072167,1.9928484904372463,0.4542906574394463,1.9906637934203981,4,10000
4,0.44988659793814434,1.991026732176853,0.40537716262975776,1.987049265530374,5,10000
5,0.4348453608247423,1.989989478914246,0.4158685121107266,1.9890032099914787,6,10000
6,0.4323917525773196,1.9887726280372935,0.4662491349480969,1.9860371104011274,7,10000
7,0.440618556701031,1.9885808060761019,0.3953010380622837,1.9883646530959558,8,10000
8,0.4454123711340206,1.9875615669419253,0.4261730103806228,1.986642212340704,9,10000
9,0.4539896907216496,1.98825414077598,0.427044982698962,1.987738093231375,10,10000
10,0.45922680412371136,1.9875503119339692,0.4229480968858132,1.9885827143073698,11,10000
11,0.4609381443298969,1.987753282171144,0.42026989619377164,1.9848040417792225,12,10000
12,0.4635876288659793,1.9876452949012824,0.3938961937716263,1.9866309268641424,13,10000
13,0.46813402061855675,1.9880372370790964,0.46721107266435985,1.9863652317521618,14,10000
14,0.4750824742268043,1.9875275797346181,0.4709550173010381,1.9830956187183262,15,10000
15,0.4776082474226804,1.9877870945668423,0.4333287197231834,1.98319795640132,16,10000
16,0.4809072164948454,1.9874307707866896,0.4756608996539793,1.9834975433746067,17,10000
17,0.4842577319587629,1.9873520733192855,0.5607889273356401,1.9874854185364303,18,10000
18,0.49247422680412367,1.9867449103644017,0.4746020761245675,1.9836061966666865,19,10000
19,0.4901855670103093,1.9869688433342383,0.44539792387543253,1.9849247614179855,20,10000
20,0.48743298969072163,1.9866428305300323,0.4977785467128028,1.982285964001199,21,10000
21,0.48960824742268044,1.9872011695814116,0.48008304498269894,1.9825141242023412,22,10000
22,0.4929896907216495,1.9863915994595096,0.44057439446366786,1.9844070774523412,23,10000
23,0.48917525773195886,1.9865255836837685,0.4224290657439446,1.9860378248856725,24,10000
24,0.4908453608247423,1.9868764989872265,0.46557785467128027,1.9897788109687453,25,10000
