train_acc,train_cost,test_acc,test_cost,step,n_train
0.6070166666666666,1.787944982106262,0.6551,1.70259297994475,1,60000
0.6712333333333333,1.6899900161140036,0.6829000000000001,1.6686842956579997,2,60000
0.6819166666666666,1.6680028702020637,0.6894,1.652335143445337,3,60000
0.68835,1.6543450383801905,0.6929000000000001,1.6471267492260704,4,60000
0.6926333333333333,1.6455913041466266,0.6981999999999999,1.6366123660361194,5,60000
0.6957500000000001,1.6390507002763857,0.7043999999999999,1.626210449116563,6,60000
0.6968166666666666,1.6329061546839467,0.7012,1.6262615399265044,7,60000
0.6986833333333334,1.6285453865359645,0.7021999999999999,1.6214179083671105,8,60000
0.6995166666666667,1.62399111963947,0.7014,1.618681292259928,9,60000
0.7004833333333332,1.620978411240821,0.7039000000000001,1.6144197841014747,10,60000
0.7022499999999999,1.6186532165335987,0.7027,1.6138329073319782,11,60000
0.7027166666666667,1.6153978863830918,0.7071999999999999,1.6088922119286895,12,60000
0.70345,1.6130519464399562,0.7071999999999999,1.6083306220806837,13,60000
0.70385,1.6109240575514507,0.7074999999999999,1.6044221941117904,14,60000
0.7041333333333333,1.6098831085074408,0.7083999999999999,1.6039174985123608,15,60000
0.7050666666666666,1.6073228308892094,0.7088000000000001,1.601463267453467,16,60000
0.7053666666666667,1.6052820810550656,0.7096000000000001,1.5997434578260101,17,60000
0.7056333333333333,1.6045125478580269,0.7085,1.5996409566711216,18,60000
0.70645,1.603325435637146,0.7094,1.5976731125334611,19,60000
0.7062666666666666,1.6016805548682431,0.7107999999999999,1.5958072471763347,20,60000
0.7067,1.6003498089159625,0.7110000000000001,1.5934108181075586,21,60000
0.7069500000000001,1.599375242498896,0.7097,1.5940987096033623,22,60000
0.7075,1.598092087810946,0.7116,1.5930223277732916,23,60000
0.70735,1.597365361618678,0.7111999999999999,1.5920775741539335,24,60000
0.7075833333333333,1.5959815909378159,0.7102,1.5910451142315236,25,60000
