train_acc,train_cost,val_acc,val_cost
0.2702760044028618,2.0286535749555314,0.7446829268292682,1.7864001891222965
0.8202949917446339,1.7010366215875212,0.8467642276422764,1.643512585594058
0.8680781507980185,1.6273303059823572,0.8659756097560974,1.6141289624424755
0.8784397358282883,1.6017872678624685,0.8684552845528456,1.5964328555968912
0.8849028618602093,1.589874985858044,0.882520325203252,1.58312191609522
0.888262520638415,1.5822690457870516,0.8837073170731707,1.5743657073050124
0.892105668684645,1.5779648127648676,0.8897723577235772,1.565151321431893
0.8937638965327465,1.569078094274076,0.8916260162601626,1.5636328708355631
0.8948613098514034,1.566262984228781,0.8907723577235772,1.5600556031572037
0.8971015410016513,1.5626590104963485,0.8876666666666666,1.5589843266782086
0.8983794716565769,1.5611609968638918,0.8901463414634146,1.5580080742591715
0.8985594386351129,1.559051426614307,0.8919186991869918,1.552415558912944
0.8999292790313703,1.557045261055688,0.8970243902439025,1.5505540596861909
0.9008379196477712,1.555293630101204,0.8937723577235772,1.550335602764597
0.9013855255916344,1.5539118607221334,0.8985040650406505,1.5495749295814143
0.9009609246009904,1.5521719684723538,0.8935853658536584,1.5496742273749415
0.902265272427078,1.551901811325621,0.894959349593496,1.5515669634252325
0.9021942762795818,1.5516498478301353,0.8963983739837399,1.5464737767893963
0.903252063841497,1.5511015767251766,0.8983983739837398,1.5478354350609098
0.903064942212438,1.5489320080046869,0.8955853658536586,1.5433893558596754
0.9033492019812878,1.5476215102569917,0.8987317073170732,1.550013613978118
0.9038767198679144,1.5478138485606705,0.8977317073170732,1.5455027777120052
0.9046940011007156,1.5476589021354985,0.9013170731707316,1.5474623904418336
0.904323059988993,1.54645135010996,0.9003577235772359,1.5422417310389838
0.9052245459548708,1.5452356116603612,0.8970650406504065,1.5435523174930073
0.9052883874518436,1.543969227640911,0.8993577235772358,1.542929177582473
0.905150522839846,1.5443966454263356,0.8962113821138211,1.5431380064123648
0.9052374793615852,1.5447760015496987,0.8978780487804877,1.5399277655586117
0.9054911942762796,1.543269026756993,0.9035040650406504,1.5412967616564084
0.9063811227297744,1.5428513613093051,0.9002113821138211,1.5405791657574983
0.9060737479361584,1.5421179958961688,0.9005853658536586,1.5374146785746037
0.9055143093010456,1.5415827713498889,0.9003577235772359,1.5377534033099518
0.9057578425976888,1.5399859808333036,0.8947723577235772,1.538831680899542
0.906067969179967,1.5406178656057308,0.8967317073170732,1.5349059146186077
0.9071970280682444,1.5406765599066825,0.9007317073170732,1.5375042596180302
0.9067072096862964,1.5405596855095147,0.8970650406504065,1.5379334377152611
0.9071929003852504,1.5402329858039396,0.8990650406504065,1.5369046138548663
0.9072548156301596,1.5408890253421643,0.8969593495934959,1.54329843623342
0.9069562465602644,1.53994037531813,0.8977723577235772,1.535627574618734
0.906812878370941,1.5381996623542136,0.9007317073170732,1.5356658222622628
0.9081868464501928,1.538402320383551,0.9048373983739836,1.5360602933879928
0.9078203082003304,1.538562817148822,0.8969186991869919,1.5362331718892108
0.90773197578426,1.538332183774631,0.8964390243902439,1.5379025442362282
0.9075509080902586,1.5369887913769702,0.8972520325203251,1.533835314184903
0.907496973032471,1.5368532614834387,0.9005447154471544,1.5327660343045697
0.907271051183269,1.5364322252349285,0.9020243902439024,1.5348638277528233
0.9079116675839296,1.5361647507341731,0.9030243902439024,1.53298039962321
0.908463401210787,1.5356258786482588,0.9038373983739838,1.5338406821484023
0.9082925151348376,1.535855297421764,0.8995853658536586,1.5331456364374405
0.9080478811227296,1.5356364834552036,0.9015447154471544,1.5342618613932677
0.9070292281225653,1.537365996472296,0.9005691798816574,1.5411132224981328
0.9075264664464318,1.5385223775175367,0.9005751006189584,1.5399219584695965
0.9073377107717833,1.538670242050355,0.900596821613452,1.5367388720325146
0.907222642271862,1.5366619422281667,0.9005581784696225,1.535666647750036
0.9068406440867018,1.5410171946840932,0.9005789394729353,1.5401618109279243
0.9068406232710502,1.5399379871696541,0.9005840993615449,1.5395590582583543
0.9067561261573012,1.5408502191256812,0.9005480657272396,1.5396819897826275
0.9074535100138037,1.5406022917948734,0.9005850979602256,1.539916550424107
0.9072247622551344,1.5389543448824015,0.9005562545921634,1.5360469478171241
0.907317066634638,1.5407524020043784,0.9005492934051371,1.5376254847934208
0.9067237644185773,1.5361271333863882,0.9006076264454588,1.5362790732803644
0.9075430322024157,1.5367237048864262,0.900608731714183,1.5404262240136095
0.9074243979990108,1.5358870114534535,0.9005983542249757,1.5390953046038929
0.9068892486525153,1.537441583335736,0.9005651045087655,1.5374724840379321
0.9068629149466997,1.5377931589577767,0.9005514463595244,1.5359887488440875
0.9068642780920035,1.5371419871263452,0.9005901593797498,1.537361951885522
0.906968561055674,1.5402354931757931,0.9005740500645869,1.5374407674372483
0.9071588648004986,1.5376159809631493,0.9005530545234998,1.5396853142897762
0.9070787685510882,1.537195186528765,0.9005776816760674,1.5391744439660213
0.9069573307479909,1.5386479632615282,0.9005472696423936,1.5405600307212985
0.9072340290481454,1.53641812944861,0.9006050151465372,1.538256792834649
0.9068263832017427,1.540088193243185,0.9005620794787856,1.5362997480649576
0.9069581208316859,1.5360497560724227,0.9005887264707674,1.5395945085690876
0.9067058337919648,1.546886520507868,0.8948780487804878,1.5437545410356763
0.9064620253164556,1.546246310853988,0.8953983739837398,1.5436214880287285
0.907056411667584,1.5448394819204203,0.8965447154471544,1.5439194882268363
0.906028893780958,1.5458342102661569,0.898170731707317,1.5411859699167778
0.9061433681893228,1.54609481930105,0.8993577235772358,1.5466802430759248
0.9063869014859662,1.5444599133972623,0.8978373983739837,1.5400034380960304
0.9075693450742984,1.5431510333749132,0.9002113821138211,1.5444448414313037
0.906853604843148,1.544578723570735,0.8985040650406505,1.5387243354498523
0.9072578425976886,1.543414731558955,0.8973577235772358,1.5423227475471026
0.9072958172812328,1.5440784341661808,0.8985040650406505,1.5406038162245068
0.9071491469455144,1.5423112587548116,0.899691056910569,1.5420398396289772
0.907402586681343,1.541104276041617,0.8982113821138212,1.5415531726660774
0.9085547605943864,1.5423241579653455,0.8995447154471545,1.5380783526476791
0.9080143093010458,1.5421808783239312,0.8972113821138211,1.540116807173554
0.9080506329113924,1.5415174659013564,0.8988780487804878,1.538770657593966
0.9082839845899836,1.541264460634401,0.8978780487804877,1.542282239363612
0.9087418822234452,1.5417938794136192,0.8975447154471544,1.5394899702592262
0.908449367088608,1.5401828138483424,0.8987317073170732,1.5393498905871457
0.9082638965327464,1.539695520447492,0.8992113821138211,1.5365731882421707
0.9083913043478264,1.5397760754664662,0.8990243902439025,1.5381916041344097
0.9080809025866812,1.5391879504816368,0.8965040650406504,1.537828824256824
0.90826362135388,1.539212051309156,0.9003577235772359,1.5390103948167448
0.9080707209686296,1.539576151987901,0.9040894308943088,1.5374067946726289
0.908755090809026,1.5394205045747578,0.8972113821138211,1.5386371380751749
0.9081320858558064,1.5390160060424736,0.9013170731707316,1.5385032072926126
0.9085187121629056,1.5379073223056794,0.8972113821138211,1.5389590324401838
0.9081260319207484,1.538496487386181,0.9025040650406504,1.536998830788476
