steps,train_acc,train_cost,val_acc,val_cost,step,n_train
0,0.6352201430930104,1.8539753253809808,0.7775772357723577,1.7269426281207292,1,48200
1,0.8231923500275179,1.6973235664146542,0.8272926829268293,1.66640174386085,2,48200
2,0.8516496973032469,1.657139328071691,0.8508617886178862,1.6469302942776443,3,48200
3,0.8651857457347277,1.6375012051262028,0.8630731707317073,1.6268059454782697,4,48200
4,0.8726089708310402,1.6238410977256286,0.870951219512195,1.6196071531246254,5,48200
5,0.8773858007705008,1.6161736334942622,0.8667642276422765,1.6167671423943617,6,48200
6,0.88018409466153,1.608622168816556,0.8759105691056911,1.602658797266437,7,48200
7,0.8834466152999451,1.6024428213876518,0.8786422764227643,1.6007280677549007,8,48200
8,0.8856045679691799,1.5979556883145813,0.8847479674796749,1.5955675875625968,9,48200
9,0.887482938910292,1.592430378274875,0.8808943089430894,1.593030032603508,10,48200
10,0.8893351678591087,1.5906520321178528,0.8885609756097561,1.5920582875009923,11,48200
11,0.8903335167859111,1.5874030492161417,0.886560975609756,1.5846420334021192,12,48200
12,0.8919667033571822,1.5836074269342313,0.8870813008130081,1.5824626938621702,13,48200
13,0.8930613648871768,1.5820474913064029,0.8885609756097561,1.5839061469958657,14,48200
14,0.8932509631260319,1.5805728729978568,0.8874146341463415,1.577128160150383,15,48200
15,0.8939507429829389,1.5788179761003076,0.8915203252032521,1.5770486521011173,16,48200
16,0.8958145294441389,1.57719705887159,0.8915203252032521,1.5738693732553024,17,48200
17,0.8958277380297194,1.5744312850433484,0.8880813008130081,1.5772475848417418,18,48200
18,0.8969133186571271,1.5737842829818631,0.8933333333333334,1.5727245006289632,19,48200
19,0.8962652724270777,1.571150356308483,0.894,1.573200905678788,20,48200
20,0.8977361034672539,1.5704112780947062,0.8962926829268293,1.5712825431323936,21,48200
21,0.897462300495322,1.5709779297729007,0.896,1.572533639780838,22,48200
22,0.8982479361585031,1.5693734811797961,0.893520325203252,1.567190064777206,23,48200
23,0.8990030269675288,1.5681887237789391,0.8927073170731706,1.5704762915021,24,48200
24,0.8982930654925703,1.5677007689175215,0.897479674796748,1.570810772722912,25,48200
25,0.8986697853604843,1.5668488067599347,0.8994390243902438,1.5696935647357104,26,48200
26,0.899526141992295,1.565290132890439,0.8934146341463415,1.5668346453125244,27,48200
27,0.8991915244909193,1.5647652735519848,0.895,1.5643135715993521,28,48200
28,0.9004768849752345,1.5640028830542483,0.8948536585365853,1.5674329033541,29,48200
29,0.9002823335167861,1.5633477805675136,0.8999593495934959,1.5644008896279613,30,48200
30,0.9005451293340674,1.5621725135670912,0.8991056910569105,1.5622334563316291,31,48200
31,0.9013665382498625,1.5613810517715165,0.8994390243902438,1.5637480765721712,32,48200
32,0.9017361034672539,1.5615158792020543,0.8992520325203253,1.5606996528115982,33,48200
33,0.9009680792515135,1.561146487558233,0.9020650406504065,1.562604504794641,34,48200
34,0.9012231700605393,1.5607021586696461,0.8987723577235772,1.5621779656627581,35,48200
35,0.9013973582828837,1.5590151111442045,0.900479674796748,1.5612190129864112,36,48200
36,0.9013739680792517,1.558576698806113,0.8965203252032521,1.5629420165068997,37,48200
37,0.9015376995046782,1.558752986334272,0.8982926829268293,1.56046784631875,38,48200
38,0.9021953769950469,1.5577038842211668,0.9020650406504065,1.5592597539584334,39,48200
39,0.9026722619702809,1.5572166323338852,0.9014390243902439,1.5585083533853235,40,48200
40,0.9025129334067143,1.5567298407354901,0.8997317073170731,1.5586466456918462,41,48200
41,0.9024534947716015,1.5564161547858892,0.8997723577235773,1.5583092924881388,42,48200
42,0.9025418271876724,1.5562904169573795,0.8988130081300812,1.5566189483321662,43,48200
43,0.9025478811227297,1.556003386991408,0.8994796747967481,1.5570995108535746,44,48200
44,0.9034174463401213,1.5558612898718036,0.8972926829268292,1.5574964867094316,45,48200
45,0.9030401761144745,1.5540399325224974,0.9021056910569105,1.5587279675077461,46,48200
46,0.9035156851953773,1.5554718459494528,0.9025853658536586,1.556611845686297,47,48200
47,0.9030112823335168,1.5543634266195572,0.9011056910569106,1.5546058624989794,48,48200
48,0.9037622454595485,1.553600244803468,0.9006260162601626,1.5551371650057861,49,48200
49,0.9039375343973582,1.5532433616285712,0.898959349593496,1.554452436057577,50,48200
